id,number,title,level,type,flags,course,day,lesson,depth,note
sec-datetimeformat-tolocaltime-records,11.5.13,ToLocalTime Records,3,,,,,,,
sec-unwrapdatetimeformat,11.5.14,UnwrapDateTimeFormat ( dtf ),3,abstract operation,normative-optional,,,,,
intl-displaynames-objects,12,DisplayNames Objects,1,,,,,,,
sec-intl-displaynames-constructor,12.1,The Intl.DisplayNames Constructor,2,,,,,,,
sec-Intl.DisplayNames,12.1.1,"Intl.DisplayNames ( locales, options )",3,,,,,,,
sec-properties-of-intl-displaynames-constructor,12.2,Properties of the Intl.DisplayNames Constructor,2,,,,,,,
sec-Intl.DisplayNames.prototype,12.2.1,Intl.DisplayNames.prototype,3,,,,,,,
sec-Intl.DisplayNames.supportedLocalesOf,12.2.2,"Intl.DisplayNames.supportedLocalesOf ( locales [ , options ] )",3,,,,,,,
sec-Intl.DisplayNames-internal-slots,12.2.3,Internal slots,3,,,,,,,
sec-properties-of-intl-displaynames-prototype-object,12.3,Properties of the Intl.DisplayNames Prototype Object,2,,,,,,,
sec-Intl.DisplayNames.prototype.constructor,12.3.1,Intl.DisplayNames.prototype.constructor,3,,,,,,,
sec-Intl.DisplayNames.prototype.resolvedOptions,12.3.2,Intl.DisplayNames.prototype.resolvedOptions ( ),3,,,,,,,
sec-Intl.DisplayNames.prototype.of,12.3.3,Intl.DisplayNames.prototype.of ( code ),3,,,,,,,
sec-intl.displaynames.prototype-%symbol.tostringtag%,12.3.4,Intl.DisplayNames.prototype [ %Symbol.toStringTag% ],3,,,,,,,
sec-properties-of-intl-displaynames-instances,12.4,Properties of Intl.DisplayNames Instances,2,,,,,,,
sec-intl-displaynames-abstracts,12.5,Abstract Operations for DisplayNames Objects,2,,,,,,,
sec-canonicalcodefordisplaynames,12.5.1,"CanonicalCodeForDisplayNames ( type, code )",3,abstract operation,,,,,,
sec-isvaliddatetimefieldcode,12.5.2,IsValidDateTimeFieldCode ( field ),3,abstract operation,,,,,,
durationformat-objects,13,DurationFormat Objects,1,,,,,,,
sec-intl-durationformat-constructor,13.1,The Intl.DurationFormat Constructor,2,,,,,,,
sec-Intl.DurationFormat,13.1.1,"Intl.DurationFormat ( [ locales [ , options ] ] )",3,,,,,,,
sec-properties-of-intl-durationformat-constructor,13.2,Properties of the Intl.DurationFormat Constructor,2,,,,,,,
sec-Intl.DurationFormat.prototype,13.2.1,Intl.DurationFormat.prototype,3,,,,,,,
sec-Intl.DurationFormat.supportedLocalesOf,13.2.2,"Intl.DurationFormat.supportedLocalesOf ( locales [ , options ] )",3,,,,,,,
sec-Intl.DurationFormat-internal-slots,13.2.3,Internal slots,3,,,,,,,
sec-properties-of-intl-durationformat-prototype-object,13.3,Properties of the Intl.DurationFormat Prototype Object,2,,,,,,,
sec-Intl.DurationFormat.prototype.constructor,13.3.1,Intl.DurationFormat.prototype.constructor,3,,,,,,,
sec-Intl.DurationFormat.prototype.resolvedOptions,13.3.2,Intl.DurationFormat.prototype.resolvedOptions ( ),3,,,,,,,
sec-Intl.DurationFormat.prototype.format,13.3.3,Intl.DurationFormat.prototype.format ( duration ),3,,,,,,,
sec-Intl.DurationFormat.prototype.formatToParts,13.3.4,Intl.DurationFormat.prototype.formatToParts ( duration ),3,,,,,,,
sec-Intl.DurationFormat.prototype-%symbol.tostringtag%,13.3.5,Intl.DurationFormat.prototype [ %Symbol.toStringTag% ],3,,,,,,,
sec-properties-of-intl-durationformat-instances,13.4,Properties of Intl.DurationFormat Instances,2,,,,,,,
sec-intl-durationformat-abstracts,13.5,Abstract Operations for DurationFormat Objects,2,,,,,,,
sec-duration-records,13.5.1,Duration Records,3,,,,,,,
sec-tointegerifintegral,13.5.2,ToIntegerIfIntegral ( argument ),3,abstract operation,,,,,,
sec-todurationrecord,13.5.3,ToDurationRecord ( input ),3,abstract operation,,,,,,
sec-durationsign,13.5.4,DurationSign ( duration ),3,abstract operation,,,,,,
sec-isvalidduration,13.5.5,"IsValidDuration ( years, months, weeks, days, hours, minutes, seconds, milliseconds, microseconds, nanoseconds )",3,abstract operation,,,,,,
sec-getdurationunitoptions,13.5.6,"GetDurationUnitOptions ( unit, options, baseStyle, stylesList, digitalBase, prevStyle, twoDigitHours )",3,abstract operation,,,,,,
sec-durationformat-unit-options-record,13.5.6.1,Duration Unit Options Records,4,,,,,,,
sec-validatedurationunitstyle,13.5.6.2,"ValidateDurationUnitStyle ( unit, style, display, prevStyle )",4,abstract operation,,,,,,
sec-computefractionaldigits,13.5.7,"ComputeFractionalDigits ( durationFormat, duration )",3,abstract operation,,,,,,
sec-nextunitfractional,13.5.8,"NextUnitFractional ( durationFormat, unit )",3,abstract operation,,,,,,
sec-formatnumerichours,13.5.9,"FormatNumericHours ( durationFormat, hoursValue, signDisplayed )",3,abstract operation,,,,,,
sec-formatnumericminutes,13.5.10,"FormatNumericMinutes ( durationFormat, minutesValue, hoursDisplayed, signDisplayed )",3,abstract operation,,,,,,
sec-formatnumericseconds,13.5.11,"FormatNumericSeconds ( durationFormat, secondsValue, minutesDisplayed, signDisplayed )",3,abstract operation,,,,,,
sec-formatnumericunits,13.5.12,"FormatNumericUnits ( durationFormat, duration, firstNumericUnit, signDisplayed )",3,abstract operation,,,,,,
sec-isfractionalsecondunitname,13.5.13,IsFractionalSecondUnitName ( unit ),3,abstract operation,,,,,,
sec-listformatparts,13.5.14,"ListFormatParts ( durationFormat, partitionedPartsList )",3,abstract operation,,,,,,
sec-partitiondurationformatpattern,13.5.15,"PartitionDurationFormatPattern ( durationFormat, duration )",3,abstract operation,,,,,,
listformat-objects,14,ListFormat Objects,1,,,,,,,
sec-intl-listformat-constructor,14.1,The Intl.ListFormat Constructor,2,,,,,,,
sec-Intl.ListFormat,14.1.1,"Intl.ListFormat ( [ locales [ , options ] ] )",3,,,,,,,
sec-properties-of-intl-listformat-constructor,14.2,Properties of the Intl.ListFormat Constructor,2,,,,,,,
sec-Intl.ListFormat.prototype,14.2.1,Intl.ListFormat.prototype,3,,,,,,,
sec-Intl.ListFormat.supportedLocalesOf,14.2.2,"Intl.ListFormat.supportedLocalesOf ( locales [ , options ] )",3,,,,,,,
sec-Intl.ListFormat-internal-slots,14.2.3,Internal slots,3,,,,,,,
sec-properties-of-intl-listformat-prototype-object,14.3,Properties of the Intl.ListFormat Prototype Object,2,,,,,,,
sec-Intl.ListFormat.prototype.constructor,14.3.1,Intl.ListFormat.prototype.constructor,3,,,,,,,
sec-Intl.ListFormat.prototype.resolvedoptions,14.3.2,Intl.ListFormat.prototype.resolvedOptions ( ),3,,,,,,,
sec-Intl.ListFormat.prototype.format,14.3.3,Intl.ListFormat.prototype.format ( list ),3,,,,,,,
sec-Intl.ListFormat.prototype.formatToParts,14.3.4,Intl.ListFormat.prototype.formatToParts ( list ),3,,,,,,,
sec-Intl.ListFormat.prototype-toStringTag,14.3.5,Intl.ListFormat.prototype [ %Symbol.toStringTag% ],3,,,,,,,
sec-properties-of-intl-listformat-instances,14.4,Properties of Intl.ListFormat Instances,2,,,,,,,
sec-intl-listformat-abstracts,14.5,Abstract Operations for ListFormat Objects,2,,,,,,,
sec-deconstructpattern,14.5.1,"DeconstructPattern ( pattern, placeables )",3,abstract operation,,,,,,
sec-createpartsfromlist,14.5.2,"CreatePartsFromList ( listFormat, list )",3,abstract operation,,,,,,
sec-formatlist,14.5.3,"FormatList ( listFormat, list )",3,abstract operation,,,,,,
sec-formatlisttoparts,14.5.4,"FormatListToParts ( listFormat, list )",3,abstract operation,,,,,,
sec-createstringlistfromiterable,14.5.5,StringListFromIterable ( iterable ),3,abstract operation,,,,,,
locale-objects,15,Locale Objects,1,,,,,,,
sec-intl-locale-constructor,15.1,The Intl.Locale Constructor,2,,,,,,,
sec-Intl.Locale,15.1.1,"Intl.Locale ( tag [ , options ] )",3,,,,,,,
sec-updatelanguageid,15.1.2,"UpdateLanguageId ( tag, options )",3,abstract operation,,,,,,
sec-makelocalerecord,15.1.3,"MakeLocaleRecord ( tag, options, localeExtensionKeys )",3,abstract operation,,,,,,
sec-properties-of-intl-locale-constructor,15.2,Properties of the Intl.Locale Constructor,2,,,,,,,
sec-Intl.Locale.prototype,15.2.1,Intl.Locale.prototype,3,,,,,,,
sec-intl.locale-internal-slots,15.2.2,Internal slots,3,,,,,,,
sec-properties-of-intl-locale-prototype-object,15.3,Properties of the Intl.Locale Prototype Object,2,,,,,,,
sec-Intl.Locale.prototype.constructor,15.3.1,Intl.Locale.prototype.constructor,3,,,,,,,
sec-Intl.Locale.prototype.baseName,15.3.2,get Intl.Locale.prototype.baseName,3,,,,,,,
sec-Intl.Locale.prototype.calendar,15.3.3,get Intl.Locale.prototype.calendar,3,,,,,,,
sec-Intl.Locale.prototype.caseFirst,15.3.4,get Intl.Locale.prototype.caseFirst,3,,,,,,,
sec-Intl.Locale.prototype.collation,15.3.5,get Intl.Locale.prototype.collation,3,,,,,,,
sec-Intl.Locale.prototype.firstDayOfWeek,15.3.6,get Intl.Locale.prototype.firstDayOfWeek,3,,,,,,,
sec-Intl.Locale.prototype.hourCycle,15.3.7,get Intl.Locale.prototype.hourCycle,3,,,,,,,
sec-Intl.Locale.prototype.language,15.3.8,get Intl.Locale.prototype.language,3,,,,,,,
sec-Intl.Locale.prototype.maximize,15.3.9,Intl.Locale.prototype.maximize ( ),3,,,,,,,
sec-Intl.Locale.prototype.minimize,15.3.10,Intl.Locale.prototype.minimize ( ),3,,,,,,,
sec-Intl.Locale.prototype.numberingSystem,15.3.11,get Intl.Locale.prototype.numberingSystem,3,,,,,,,
sec-Intl.Locale.prototype.numeric,15.3.12,get Intl.Locale.prototype.numeric,3,,,,,,,
sec-Intl.Locale.prototype.region,15.3.13,get Intl.Locale.prototype.region,3,,,,,,,
sec-Intl.Locale.prototype.script,15.3.14,get Intl.Locale.prototype.script,3,,,,,,,
sec-Intl.Locale.prototype.toString,15.3.15,Intl.Locale.prototype.toString ( ),3,,,,,,,
sec-Intl.Locale.prototype.getCalendars,15.3.16,Intl.Locale.prototype.getCalendars ( ),3,,,,,,,
sec-Intl.Locale.prototype.getCollations,15.3.17,Intl.Locale.prototype.getCollations ( ),3,,,,,,,
sec-Intl.Locale.prototype.getHourCycles,15.3.18,Intl.Locale.prototype.getHourCycles ( ),3,,,,,,,
sec-Intl.Locale.prototype.getNumberingSystems,15.3.19,Intl.Locale.prototype.getNumberingSystems ( ),3,,,,,,,
sec-Intl.Locale.prototype.getTimeZones,15.3.20,Intl.Locale.prototype.getTimeZones ( ),3,,,,,,,
sec-Intl.Locale.prototype.getTextInfo,15.3.21,Intl.Locale.prototype.getTextInfo ( ),3,,,,,,,
sec-Intl.Locale.prototype.getWeekInfo,15.3.22,Intl.Locale.prototype.getWeekInfo ( ),3,,,,,,,
sec-Intl.Locale.prototype.variants,15.3.23,get Intl.Locale.prototype.variants,3,,,,,,,
sec-intl.locale.prototype-%symbol.tostringtag%,15.3.24,Intl.Locale.prototype [ %Symbol.toStringTag% ],3,,,,,,,
sec-properties-of-intl-locale-instances,15.4,Properties of Intl.Locale Instances,2,,,,,,,
sec-intl-locale-abstracts,15.5,Abstract Operations for Locale Objects,2,,,,,,,
sec-getlocalebasename,15.5.1,GetLocaleBaseName ( locale ),3,abstract operation,,,,,,
sec-getlocalelanguage,15.5.2,GetLocaleLanguage ( locale ),3,abstract operation,,,,,,
sec-getlocalescript,15.5.3,GetLocaleScript ( locale ),3,abstract operation,,,,,,
sec-getlocaleregion,15.5.4,GetLocaleRegion ( locale ),3,abstract operation,,,,,,
sec-getlocalevariants,15.5.5,GetLocaleVariants ( locale ),3,abstract operation,,,,,,
sec-unicodeextensionvalue,15.5.6,"UnicodeExtensionValue ( locale, key )",3,abstract operation,,,,,,
sec-canonicalunicodesubdivision,15.5.7,"CanonicalUnicodeSubdivision ( locale, key )",3,abstract operation,,,,,,
sec-regionpreference,15.5.8,RegionPreference ( locale ),3,abstract operation,,,,,,
sec-calendarsoflocale,15.5.9,CalendarsOfLocale ( loc ),3,implementation-defined abstract operation,,,,,,
sec-collationsoflocale,15.5.10,CollationsOfLocale ( loc ),3,implementation-defined abstract operation,,,,,,
sec-hourcyclesoflocale,15.5.11,HourCyclesOfLocale ( loc ),3,implementation-defined abstract operation,,,,,,
sec-numberingsystemsoflocale,15.5.12,NumberingSystemsOfLocale ( loc ),3,implementation-defined abstract operation,,,,,,
sec-timezonesoflocale,15.5.13,TimeZonesOfLocale ( loc ),3,implementation-defined abstract operation,,,,,,
sec-textdirectionoflocale,15.5.14,TextDirectionOfLocale ( loc ),3,implementation-defined abstract operation,,,,,,
sec-weekdaytouvalue,15.5.15,WeekdayToUValue ( fw ),3,abstract operation,,,,,,
sec-weekdayuvaluetonumber,15.5.16,WeekdayUValueToNumber ( fw ),3,abstract operation,,,,,,
sec-weekinfooflocale,15.5.17,WeekInfoOfLocale ( loc ),3,implementation-defined abstract operation,,,,,,
numberformat-objects,16,NumberFormat Objects,1,,,,,,,
sec-intl-numberformat-constructor,16.1,The Intl.NumberFormat Constructor,2,,,,,,,
sec-intl.numberformat,16.1.1,"Intl.NumberFormat ( [ locales [ , options ] ] )",3,,,,,,,
sec-chainnumberformat,16.1.1.1,"ChainNumberFormat ( numberFormat, newTarget, this )",4,abstract operation,normative-optional,,,,,
sec-setnumberformatdigitoptions,16.1.2,"SetNumberFormatDigitOptions ( intlObj, options, mnfdDefault, mxfdDefault, notation )",3,abstract operation,,,,,,
sec-setnumberformatunitoptions,16.1.3,"SetNumberFormatUnitOptions ( intlObj, options )",3,abstract operation,,,,,,
sec-properties-of-intl-numberformat-constructor,16.2,Properties of the Intl.NumberFormat Constructor,2,,,,,,,
sec-intl.numberformat.prototype,16.2.1,Intl.NumberFormat.prototype,3,,,,,,,
sec-intl.numberformat.supportedlocalesof,16.2.2,"Intl.NumberFormat.supportedLocalesOf ( locales [ , options ] )",3,,,,,,,
sec-intl.numberformat-internal-slots,16.2.3,Internal slots,3,,,,,,,
sec-properties-of-intl-numberformat-prototype-object,16.3,Properties of the Intl.NumberFormat Prototype Object,2,,,,,,,
sec-intl.numberformat.prototype.constructor,16.3.1,Intl.NumberFormat.prototype.constructor,3,,,,,,,
sec-intl.numberformat.prototype.resolvedoptions,16.3.2,Intl.NumberFormat.prototype.resolvedOptions ( ),3,,,,,,,
sec-intl.numberformat.prototype.format,16.3.3,get Intl.NumberFormat.prototype.format,3,,,,,,,
sec-intl.numberformat.prototype.formatrange,16.3.4,"Intl.NumberFormat.prototype.formatRange ( start, end )",3,,,,,,,
sec-intl.numberformat.prototype.formatrangetoparts,16.3.5,"Intl.NumberFormat.prototype.formatRangeToParts ( start, end )",3,,,,,,,
sec-intl.numberformat.prototype.formattoparts,16.3.6,Intl.NumberFormat.prototype.formatToParts ( value ),3,,,,,,,
