id,number,title,level,type,flags,course,day,lesson,depth,note
sec-relations-of-candidate-executions,29.6,Relations of Candidate Executions,2,,,,,,,
sec-agent-order,29.6.1,is-agent-order-before,3,,,,,,,
sec-reads-bytes-from,29.6.2,reads-bytes-from,3,,,,,,,
sec-reads-from,29.6.3,reads-from,3,,,,,,,
sec-host-synchronizes-with,29.6.4,host-synchronizes-with,3,,,,,,,
sec-synchronizes-with,29.6.5,synchronizes-with,3,,,,,,,
sec-happens-before,29.6.6,happens-before,3,,,,,,,
sec-properties-of-valid-executions,29.7,Properties of Valid Executions,2,,,,,,,
sec-valid-chosen-reads,29.7.1,Valid Chosen Reads,3,,,,,,,
sec-coherent-reads,29.7.2,Coherent Reads,3,,,,,,,
sec-tear-free-aligned-reads,29.7.3,Tear Free Reads,3,,,,,,,
sec-memory-order,29.7.4,Sequentially Consistent Atomics,3,,,,,,,
sec-valid-executions,29.7.5,Valid Executions,3,,,,,,,
sec-races,29.8,Races,2,,,,,,,
sec-data-races,29.9,Data Races,2,,,,,,,
sec-data-race-freedom,29.10,Data Race Freedom,2,,,,,,,
sec-shared-memory-guidelines,29.11,Shared Memory Guidelines,2,,,,,,,
sec-grammar-summary,A,Grammar Summary,1,,informative,,,,,
sec-lexical-grammar,A.1,Lexical Grammar,2,,,,,,,
sec-expressions,A.2,Expressions,2,,,,,,,
sec-statements,A.3,Statements,2,,,,,,,
sec-functions-and-classes,A.4,Functions and Classes,2,,,,,,,
sec-scripts-and-modules,A.5,Scripts and Modules,2,,,,,,,
sec-number-conversions,A.6,Number Conversions,2,,,,,,,
sec-time-zone-offset-string-format,A.7,Time Zone Offset String Format,2,,,,,,,
sec-regular-expressions,A.8,Regular Expressions,2,,,,,,,
sec-additional-ecmascript-features-for-web-browsers,B,Additional ECMAScript Features for Web Browsers,1,,normative,,,,,
sec-additional-syntax,B.1,Additional Syntax,2,,,,,,,
sec-html-like-comments,B.1.1,HTML-like Comments,3,,,,,,,
sec-regular-expressions-patterns,B.1.2,Regular Expressions Patterns,3,,,,,,,
sec-patterns-static-semantics-early-errors-annexb,B.1.2.1,Static Semantics: Early Errors,4,,,,,,,
sec-countleftcapturingparens-annexb,B.1.2.2,Static Semantics: CountLeftCapturingParensWithin and CountLeftCapturingParensBefore,4,,,,,,,
sec-patterns-static-semantics-is-character-class-annexb,B.1.2.3,Static Semantics: IsCharacterClass,4,,,,,,,
sec-patterns-static-semantics-character-value-annexb,B.1.2.4,Static Semantics: CharacterValue,4,,,,,,,
sec-compilesubpattern-annexb,B.1.2.5,Runtime Semantics: CompileSubpattern,4,,,,,,,
sec-compileassertion-annexb,B.1.2.6,Runtime Semantics: CompileAssertion,4,,,,,,,
sec-compileatom-annexb,B.1.2.7,Runtime Semantics: CompileAtom,4,,,,,,,
sec-compiletocharset-annexb,B.1.2.8,Runtime Semantics: CompileToCharSet,4,,,,,,,
