path,title,page_type,status,browser_compat,course,day,lesson,depth,note
Web/API/PerformanceEventTiming/target,PerformanceEventTiming: target property,web-api-instance-property,,api.PerformanceEventTiming.target,,,,,
Web/API/PerformanceEventTiming/toJSON,PerformanceEventTiming: toJSON() method,web-api-instance-method,,api.PerformanceEventTiming.toJSON,,,,,
Web/API/PerformanceLongAnimationFrameTiming,PerformanceLongAnimationFrameTiming,web-api-interface,experimental,api.PerformanceLongAnimationFrameTiming,,,,,
Web/API/PerformanceLongAnimationFrameTiming/blockingDuration,PerformanceLongAnimationFrameTiming: blockingDuration property,web-api-instance-property,experimental,api.PerformanceLongAnimationFrameTiming.blockingDuration,,,,,
Web/API/PerformanceLongAnimationFrameTiming/firstUIEventTimestamp,PerformanceLongAnimationFrameTiming: firstUIEventTimestamp property,web-api-instance-property,experimental,api.PerformanceLongAnimationFrameTiming.firstUIEventTimestamp,,,,,
Web/API/PerformanceLongAnimationFrameTiming/paintTime,PerformanceLongAnimationFrameTiming: paintTime property,web-api-instance-property,experimental,api.PerformanceLongAnimationFrameTiming.paintTime,,,,,
Web/API/PerformanceLongAnimationFrameTiming/presentationTime,PerformanceLongAnimationFrameTiming: presentationTime property,web-api-instance-property,experimental,api.PerformanceLongAnimationFrameTiming.presentationTime,,,,,
Web/API/PerformanceLongAnimationFrameTiming/renderStart,PerformanceLongAnimationFrameTiming: renderStart property,web-api-instance-property,experimental,api.PerformanceLongAnimationFrameTiming.renderStart,,,,,
Web/API/PerformanceLongAnimationFrameTiming/scripts,PerformanceLongAnimationFrameTiming: scripts property,web-api-instance-property,experimental,api.PerformanceLongAnimationFrameTiming.scripts,,,,,
Web/API/PerformanceLongAnimationFrameTiming/styleAndLayoutStart,PerformanceLongAnimationFrameTiming: styleAndLayoutStart property,web-api-instance-property,experimental,api.PerformanceLongAnimationFrameTiming.styleAndLayoutStart,,,,,
Web/API/PerformanceLongAnimationFrameTiming/toJSON,PerformanceLongAnimationFrameTiming: toJSON() method,web-api-instance-method,experimental,api.PerformanceLongAnimationFrameTiming.toJSON,,,,,
Web/API/PerformanceLongTaskTiming,PerformanceLongTaskTiming,web-api-interface,experimental,api.PerformanceLongTaskTiming,,,,,
Web/API/PerformanceLongTaskTiming/attribution,PerformanceLongTaskTiming: attribution property,web-api-instance-property,experimental,api.PerformanceLongTaskTiming.attribution,,,,,
Web/API/PerformanceLongTaskTiming/toJSON,PerformanceLongTaskTiming: toJSON() method,web-api-instance-method,experimental,api.PerformanceLongTaskTiming.toJSON,,,,,
Web/API/PerformanceMark,PerformanceMark,web-api-interface,,api.PerformanceMark,,,,,
Web/API/PerformanceMark/detail,PerformanceMark: detail property,web-api-instance-property,,api.PerformanceMark.detail,,,,,
